"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"65 anos";"179139";"78707";"100432";"82802";"35745";"47057";"27467";"11765";"15702";"211";"85";"126";"68424";"31016";"37408";"233";"95";"138"
"Rio de Janeiro";"66 anos";"153751";"66734";"87017";"72811";"30990";"41821";"22988";"9823";"13165";"207";"108";"99";"57554";"25753";"31801";"190";"60";"130"
"Rio de Janeiro";"67 anos";"147587";"63836";"83751";"70218";"29713";"40505";"22480";"9513";"12967";"201";"88";"113";"54477";"24438";"30039";"204";"81";"123"
"Rio de Janeiro";"68 anos";"144828";"62578";"82250";"69620";"29430";"40190";"21703";"9136";"12567";"201";"80";"121";"53112";"23865";"29247";"188";"66";"122"
"Rio de Janeiro";"69 anos";"130512";"55875";"74637";"64079";"26724";"37355";"19141";"7875";"11266";"198";"100";"98";"46932";"21110";"25822";"157";"66";"91"
"Rio de Janeiro";"70 a 74 anos";"559632";"235212";"324420";"286177";"118371";"167806";"79132";"31927";"47205";"1045";"467";"578";"192563";"84201";"108362";"690";"238";"452"
"Rio de Janeiro";"70 anos";"137087";"58646";"78441";"67542";"28491";"39051";"20201";"8245";"11956";"239";"101";"138";"48932";"21741";"27191";"167";"65";"102"
"Rio de Janeiro";"71 anos";"113265";"48113";"65152";"57489";"24048";"33441";"16175";"6658";"9517";"205";"86";"119";"39236";"17269";"21967";"156";"51";"105"
"Rio de Janeiro";"72 anos";"117190";"49236";"67954";"59522";"24548";"34974";"16654";"6775";"9879";"223";"103";"120";"40659";"17765";"22894";"128";"44";"84"
"Rio de Janeiro";"73 anos";"100072";"41350";"58722";"52603";"21371";"31232";"13611";"5430";"8181";"195";"84";"111";"33529";"14423";"19106";"130";"40";"90"
"Rio de Janeiro";"74 anos";"92018";"37867";"54151";"49021";"19913";"29108";"12491";"4819";"7672";"183";"93";"90";"30207";"13003";"17204";"109";"38";"71"
"Rio de Janeiro";"75 a 79 anos";"353656";"140230";"213426";"194124";"76013";"118111";"45853";"17171";"28682";"701";"334";"367";"112492";"46555";"65937";"466";"149";"317"
"Rio de Janeiro";"75 anos";"87532";"35319";"52213";"47086";"18750";"28336";"11376";"4281";"7095";"181";"82";"99";"28778";"12167";"16611";"107";"36";"71"
"Rio de Janeiro";"76 anos";"76735";"30813";"45922";"41625";"16575";"25050";"10098";"3921";"6177";"150";"66";"84";"24750";"10215";"14535";"107";"35";"72"
"Rio de Janeiro";"77 anos";"67470";"26819";"40651";"37469";"14710";"22759";"8716";"3301";"5415";"124";"67";"57";"21070";"8713";"12357";"89";"27";"62"
"Rio de Janeiro";"78 anos";"64446";"25259";"39187";"35720";"13872";"21848";"8467";"3111";"5356";"135";"66";"69";"20030";"8181";"11849";"89";"27";"62"
"Rio de Janeiro";"79 anos";"57473";"22020";"35453";"32224";"12106";"20118";"7196";"2557";"4639";"111";"53";"58";"17864";"7279";"10585";"74";"24";"50"
